# CDC Weekly counts of deaths by state and select causes
# 2019 - 2021
# export of https://data.cdc.gov/NCHS/Weekly-Counts-of-Deaths-by-State-and-Select-Causes/muzy-jte6
# Last update 11-20-2021
# Column 1 and Columns after S of the raw CDC data removed for clarity.

Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Alabama,2020,1,1/4/2020,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0
Alabama,2020,2,1/11/2020,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0
Alabama,2020,3,1/18/2020,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0
Alabama,2020,4,1/25/2020,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0
Alabama,2020,5,2/1/2020,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0
Alabama,2020,6,2/8/2020,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0
Alabama,2020,7,2/15/2020,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0
Alabama,2020,8,2/22/2020,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0
Alabama,2020,9,2/29/2020,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,
Alabama,2020,10,3/7/2020,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0
Alabama,2020,11,3/14/2020,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0
Alabama,2020,12,3/21/2020,1059,986,17,227,25,46,26,67,24,22,16,263,72,,
Alabama,2020,13,3/28/2020,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20
Alabama,2020,14,4/4/2020,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45
Alabama,2020,15,4/11/2020,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77
Alabama,2020,16,4/18/2020,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85
Alabama,2020,17,4/25/2020,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78
Alabama,2020,18,5/2/2020,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75
Alabama,2020,19,5/9/2020,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105
Alabama,2020,20,5/16/2020,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89
Alabama,2020,21,5/23/2020,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78
Alabama,2020,22,5/30/2020,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99
Alabama,2020,23,6/6/2020,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86
Alabama,2020,24,6/13/2020,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75
Alabama,2020,25,6/20/2020,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81
Alabama,2020,26,6/27/2020,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95
Alabama,2020,27,7/4/2020,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119
Alabama,2020,28,7/11/2020,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122
Alabama,2020,29,7/18/2020,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172
Alabama,2020,30,7/25/2020,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241
Alabama,2020,31,8/1/2020,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238
Alabama,2020,32,8/8/2020,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253
Alabama,2020,33,8/15/2020,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214
Alabama,2020,34,8/22/2020,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197
Alabama,2020,35,8/29/2020,1216,1129,19,191,24,54,17,62,19,20,22,249,56,185,175
Alabama,2020,36,9/5/2020,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142
Alabama,2020,37,9/12/2020,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130
Alabama,2020,38,9/19/2020,1200,1132,18,226,20,56,17,69,20,20,15,257,62,139,134
Alabama,2020,39,9/26/2020,1183,1109,21,203,35,65,20,62,13,15,22,261,58,105,100
Alabama,2020,40,10/3/2020,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,99
Alabama,2020,41,10/10/2020,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127
Alabama,2020,42,10/17/2020,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112
Alabama,2020,43,10/24/2020,1142,1056,18,200,16,54,20,54,16,19,15,276,47,119,112
Alabama,2020,44,10/31/2020,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119
Alabama,2020,45,11/7/2020,1277,1183,15,215,27,54,14,54,18,23,21,296,65,151,141
Alabama,2020,46,11/14/2020,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165
Alabama,2020,47,11/21/2020,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155
Alabama,2020,48,11/28/2020,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186
Alabama,2020,49,12/5/2020,1355,1259,30,177,32,63,14,66,28,14,22,300,66,251,239
Alabama,2020,50,12/12/2020,1598,1509,21,228,47,82,21,56,23,24,25,299,70,378,362
Alabama,2020,51,12/19/2020,1584,1485,13,195,31,71,31,69,17,26,29,310,70,390,363
Alabama,2020,52,12/26/2020,1626,1554,23,195,46,74,17,66,25,25,25,329,60,452,422
Alabama,2020,53,1/2/2021,1803,1702,22,200,35,79,21,70,26,26,37,325,77,509,480
Alabama,2021,1,1/9/2021,1807,1705,21,223,36,70,19,79,27,24,33,335,62,546,527
Alabama,2021,2,1/16/2021,1830,1739,16,211,47,66,25,62,22,24,28,346,67,595,569
Alabama,2021,3,1/23/2021,1787,1688,16,194,39,63,19,64,26,33,27,336,63,579,546
Alabama,2021,4,1/30/2021,1637,1559,20,206,37,63,20,74,24,22,21,311,63,490,460
Alabama,2021,5,2/6/2021,1507,1409,22,216,24,66,23,69,19,22,27,302,62,344,331
Alabama,2021,6,2/13/2021,1430,1334,21,201,30,66,15,67,25,19,20,326,77,263,247
Alabama,2021,7,2/20/2021,1331,1251,31,195,37,62,20,45,27,18,21,312,62,214,192
Alabama,2021,8,2/27/2021,1312,1218,21,182,21,57,22,59,18,14,20,324,74,170,152
Alabama,2021,9,3/6/2021,1158,1050,18,201,21,50,22,42,27,26,19,260,58,110,93
Alabama,2021,10,3/13/2021,1189,1092,12,176,25,46,21,65,16,25,29,265,53,104,93
Alabama,2021,11,3/20/2021,1057,976,27,166,24,60,18,49,15,22,20,233,49,81,72
Alabama,2021,12,3/27/2021,1189,1073,28,156,34,47,22,58,24,19,26,300,92,78,68
Alabama,2021,13,4/3/2021,1104,1004,18,189,26,41,19,69,15,18,26,239,64,66,56
Alabama,2021,14,4/10/2021,1205,1100,20,204,28,47,20,55,27,23,30,289,69,53,49
Alabama,2021,15,4/17/2021,1165,1073,25,226,38,49,16,54,19,18,26,267,53,43,38
Alabama,2021,16,4/24/2021,1103,1012,27,204,35,44,25,49,19,13,23,279,54,45,38
Alabama,2021,17,5/1/2021,1191,1106,26,216,23,50,21,64,26,25,26,303,58,46,41
Alabama,2021,18,5/8/2021,1150,1051,16,209,38,41,10,73,24,20,32,264,57,63,60
Alabama,2021,19,5/15/2021,1093,992,20,180,24,48,15,68,16,30,25,272,59,50,46
Alabama,2021,20,5/22/2021,1093,1007,16,184,22,59,17,56,16,17,21,288,51,49,39
Alabama,2021,21,5/29/2021,1072,993,24,208,21,59,17,58,22,18,21,271,54,33,24
Alabama,2021,22,6/5/2021,1079,982,18,184,22,46,20,65,20,19,24,288,61,36,31
Alabama,2021,23,6/12/2021,1103,1003,19,199,23,61,18,59,25,15,19,272,68,34,31
Alabama,2021,24,6/19/2021,1122,1018,23,218,27,34,21,55,12,32,19,266,63,24,17
Alabama,2021,25,6/26/2021,1073,991,25,163,36,30,16,68,15,20,29,279,63,36,28
Alabama,2021,26,7/3/2021,1056,949,22,203,25,47,13,45,12,22,29,249,72,21,20
Alabama,2021,27,7/10/2021,1130,1024,24,206,19,47,18,45,19,16,25,302,56,37,34
Alabama,2021,28,7/17/2021,1047,969,24,180,30,40,16,62,14,16,25,240,54,42,40
Alabama,2021,29,7/24/2021,1099,992,23,188,37,46,15,74,14,28,28,258,41,63,57
Alabama,2021,30,7/31/2021,1159,1077,26,192,28,52,18,55,15,23,30,266,49,107,101
Alabama,2021,31,8/7/2021,1313,1220,20,195,30,42,15,55,12,19,35,288,70,226,212
Alabama,2021,32,8/14/2021,1425,1345,20,219,36,50,12,63,26,19,26,283,70,342,325
Alabama,2021,33,8/21/2021,1563,1479,20,199,31,48,19,77,13,26,30,321,60,418,399
Alabama,2021,34,8/28/2021,1586,1524,20,195,47,55,13,67,13,16,46,303,68,469,452
Alabama,2021,35,9/4/2021,1575,1485,18,182,32,41,21,50,20,31,39,291,59,492,471
Alabama,2021,36,9/11/2021,1710,1625,25,184,30,49,32,67,18,23,51,318,81,538,521
Alabama,2021,37,9/18/2021,1553,1466,17,192,24,62,23,62,16,22,38,302,52,466,448
Alabama,2021,38,9/25/2021,1410,1318,22,186,29,57,14,47,12,21,37,240,62,404,388
Alabama,2021,39,10/2/2021,1450,1346,20,202,29,42,17,62,10,21,39,257,60,356,342
Alabama,2021,40,10/9/2021,1297,1213,25,193,29,50,19,64,17,16,41,298,61,245,233
Alabama,2021,41,10/16/2021,1171,1045,15,204,28,49,16,44,16,20,41,204,66,202,190
Alabama,2021,42,10/23/2021,1034,855,26,174,15,41,22,57,21,16,34,215,53,140,128
Alabama,2021,43,10/30/2021,831,542,11,150,18,39,10,42,,19,23,192,38,84,78
Alabama,2021,44,11/6/2021,601,174,,101,12,30,13,36,,12,19,146,37,46,41
Alaska,2020,1,1/4/2020,89,71,,16,,,0,,0,,0,17,,0,0
Alaska,2020,2,1/11/2020,105,93,,22,,,0,,,,0,24,,0,0
Alaska,2020,3,1/18/2020,99,83,,21,,,0,,,,0,15,,0,0
Alaska,2020,4,1/25/2020,97,82,,21,,,0,,0,,,19,,0,0
Alaska,2020,5,2/1/2020,85,74,,17,,,,,,0,,20,,0,0
Alaska,2020,6,2/8/2020,92,75,0,15,,,,,,,,22,,0,0
Alaska,2020,7,2/15/2020,89,74,,20,,,0,,,,0,19,,0,0
Alaska,2020,8,2/22/2020,83,64,,16,,,,,,0,,,,0,0
Alaska,2020,9,2/29/2020,84,76,,18,,0,,,,,,14,,0,0
Alaska,2020,10,3/7/2020,79,68,,20,0,,,,,,0,15,,0,0
Alaska,2020,11,3/14/2020,92,80,,20,,0,,,,0,,22,,0,0
Alaska,2020,12,3/21/2020,69,55,0,,,,,,,,,10,,0,0
Alaska,2020,13,3/28/2020,86,75,,16,,,,,,,0,15,,,
Alaska,2020,14,4/4/2020,98,84,,21,,,,,,0,0,14,,,
Alaska,2020,15,4/11/2020,84,71,,15,,,,,,,,20,,,
Alaska,2020,16,4/18/2020,80,71,0,17,,,,,0,,0,13,,,
Alaska,2020,17,4/25/2020,61,55,,12,0,,,,,,0,12,0,0,0
Alaska,2020,18,5/2/2020,87,78,,17,,,,,,0,,18,,0,0
Alaska,2020,19,5/9/2020,89,77,,20,,,,,,0,0,13,,,0
Alaska,2020,20,5/16/2020,84,68,0,18,,0,,,0,,,20,,0,0
Alaska,2020,21,5/23/2020,82,68,0,19,,,0,,0,0,0,17,,0,0
Alaska,2020,22,5/30/2020,97,82,,23,,,0,,0,,,18,,0,0
Alaska,2020,23,6/6/2020,79,66,0,16,,,,,,0,,19,,0,0
Alaska,2020,24,6/13/2020,88,71,,19,,,,,,0,0,16,,,
Alaska,2020,25,6/20/2020,92,74,0,28,0,,,,0,,,15,,0,0
Alaska,2020,26,6/27/2020,90,67,0,16,,,,,,0,,15,,0,0
Alaska,2020,27,7/4/2020,84,64,,16,,,0,,0,,,17,,,
Alaska,2020,28,7/11/2020,101,83,,20,,,0,,0,,,19,,,
Alaska,2020,29,7/18/2020,89,72,0,20,,,0,,0,,,12,,,
Alaska,2020,30,7/25/2020,93,76,0,20,,,,,0,,,19,,,
Alaska,2020,31,8/1/2020,114,83,0,17,,,0,,,,0,18,,,
Alaska,2020,32,8/8/2020,101,86,,15,,,0,,0,,,20,,,
Alaska,2020,33,8/15/2020,74,66,0,15,,,0,,0,,,17,,,
Alaska,2020,34,8/22/2020,116,101,,25,,,,,0,0,,27,,,
Alaska,2020,35,8/29/2020,93,75,,23,,,0,,0,0,,11,,,
Alaska,2020,36,9/5/2020,105,89,,20,,,,,,0,0,17,,,
Alaska,2020,37,9/12/2020,87,72,,22,,,0,,0,,,12,,,
Alaska,2020,38,9/19/2020,104,79,,16,,,0,,,,,10,11,,
Alaska,2020,39,9/26/2020,114,96,,18,,,0,,,,,18,,,
Alaska,2020,40,10/3/2020,78,64,0,,,,0,,,0,,19,,,
Alaska,2020,41,10/10/2020,117,97,,20,,,,,,,,26,,,
Alaska,2020,42,10/17/2020,101,91,,25,,,0,,,,0,14,,10,
Alaska,2020,43,10/24/2020,102,89,0,17,,,,,0,,,27,,,
Alaska,2020,44,10/31/2020,107,94,0,30,,,,,0,,,13,,10,
Alaska,2020,45,11/7/2020,114,91,0,22,,,,,0,,0,19,,,
Alaska,2020,46,11/14/2020,114,99,0,21,,,,,0,,,18,,16,15
Alaska,2020,47,11/21/2020,122,108,0,22,,,0,,0,,,18,,15,13
Alaska,2020,48,11/28/2020,114,107,,20,,,0,,,,,18,,21,16
Alaska,2020,49,12/5/2020,118,102,,17,,,,,0,,0,,,31,29
Alaska,2020,50,12/12/2020,135,118,0,24,,,,,0,0,,26,,24,22
Alaska,2020,51,12/19/2020,99,91,,19,,,,0,0,,0,16,,20,19
Alaska,2020,52,12/26/2020,115,100,,17,,,,0,,,0,24,,24,19
Alaska,2020,53,1/2/2021,105,89,,17,,,0,,,0,,11,,10,10
Alaska,2021,1,1/9/2021,113,97,,16,,,,,,,,25,,13,12
Alaska,2021,2,1/16/2021,128,117,,26,,,,,,,,27,,,
Alaska,2021,3,1/23/2021,97,85,,25,,,0,,,0,0,16,,,
Alaska,2021,4,1/30/2021,91,79,,18,,,0,,0,0,,15,,,
Alaska,2021,5,2/6/2021,87,76,,21,,,0,,,,,10,,,
Alaska,2021,6,2/13/2021,93,76,,18,0,,0,,,,0,18,,,
Alaska,2021,7,2/20/2021,87,76,,,,,0,,,,0,18,,,
Alaska,2021,8,2/27/2021,95,82,,14,,,,,,,,19,,,
Alaska,2021,9,3/6/2021,98,86,,16,,0,,,,,,20,,,
Alaska,2021,10,3/13/2021,85,71,,16,,0,,,,,,16,,,
Alaska,2021,11,3/20/2021,100,81,0,21,,,0,,,0,0,17,,,
Alaska,2021,12,3/27/2021,92,75,,14,,,,,,,0,19,,,
Alaska,2021,13,4/3/2021,87,73,0,20,,,0,,,,,17,,,
Alaska,2021,14,4/10/2021,101,81,0,17,,,0,,0,,,17,,,
Alaska,2021,15,4/17/2021,93,84,0,22,,0,,10,,,,17,,,
Alaska,2021,16,4/24/2021,83,69,,25,,,0,,,,,10,,,
Alaska,2021,17,5/1/2021,111,90,0,26,,,,,0,,,17,,,
Alaska,2021,18,5/8/2021,89,74,,13,,,0,,,,,18,,13,12
Alaska,2021,19,5/15/2021,95,79,0,17,,0,0,,0,,,20,,10,
Alaska,2021,20,5/22/2021,94,76,0,20,,,0,,0,,,13,,,
Alaska,2021,21,5/29/2021,107,85,,21,,,,,,,0,19,,,
Alaska,2021,22,6/5/2021,77,61,,12,0,,0,,,,,16,,,
Alaska,2021,23,6/12/2021,87,73,,21,,,,,0,,,18,,,
Alaska,2021,24,6/19/2021,108,90,0,23,,,0,,,,,18,,0,0
Alaska,2021,25,6/26/2021,87,75,0,20,,0,0,,,0,,14,,,
Alaska,2021,26,7/3/2021,101,87,,19,,,,,,,,20,,,
Alaska,2021,27,7/10/2021,97,78,,20,,,,,0,0,,23,,,
Alaska,2021,28,7/17/2021,100,79,,17,,,,,,,,18,,0,0
Alaska,2021,29,7/24/2021,94,77,,15,,,,,0,,,13,,,
Alaska,2021,30,7/31/2021,110,87,,15,,,0,,,,,17,,16,15
Alaska,2021,31,8/7/2021,136,108,,22,,,0,,,,,17,,26,24
Alaska,2021,32,8/14/2021,107,90,,20,,0,,,,,,19,,19,19
Alaska,2021,33,8/21/2021,140,117,0,26,,,0,,,,,24,,23,22
Alaska,2021,34,8/28/2021,114,95,0,23,,,,,0,0,,22,,17,15
Alaska,2021,35,9/4/2021,122,111,,22,,,0,10,,,0,16,,33,30
Alaska,2021,36,9/11/2021,110,96,,12,,,,,,,0,18,,28,24
Alaska,2021,37,9/18/2021,125,111,0,26,,,0,,,,0,19,,40,36
Alaska,2021,38,9/25/2021,114,100,,19,,,,,0,0,,14,,46,45
Alaska,2021,39,10/2/2021,137,120,,26,,,0,,,,,14,,49,42
Alaska,2021,40,10/9/2021,104,78,,12,,,0,,,0,0,12,,35,34
Alaska,2021,41,10/16/2021,95,62,,14,,0,,,0,,0,,,34,33
Alaska,2021,42,10/23/2021,85,39,0,15,0,,0,,,,,,,30,27
Alaska,2021,43,10/30/2021,51,18,0,,0,0,0,,,,,,,22,21
Alaska,2021,44,11/6/2021,11,,0,,0,0,0,,,0,0,0,0,,
Arizona,2020,1,1/4/2020,1301,1182,,248,47,66,30,90,17,11,17,314,55,0,0
Arizona,2020,2,1/11/2020,1391,1249,,277,57,67,26,85,20,19,21,299,64,0,0
Arizona,2020,3,1/18/2020,1315,1175,,265,45,65,31,75,30,20,14,275,66,0,0
Arizona,2020,4,1/25/2020,1275,1156,10,241,54,58,36,77,25,20,19,282,58,0,0
Arizona,2020,5,2/1/2020,1265,1131,,265,49,55,34,75,19,17,16,287,64,0,0
Arizona,2020,6,2/8/2020,1264,1137,,238,52,66,30,78,17,12,24,279,63,0,0
Arizona,2020,7,2/15/2020,1314,1191,,248,53,66,33,88,18,10,19,297,71,0,0
Arizona,2020,8,2/22/2020,1342,1184,,261,37,60,31,83,16,17,20,289,65,0,0
Arizona,2020,9,2/29/2020,1353,1197,,256,53,64,33,84,27,14,26,273,71,0,0
Arizona,2020,10,3/7/2020,1380,1235,12,256,44,67,29,79,30,16,23,312,73,0,0
Arizona,2020,11,3/14/2020,1349,1200,,255,46,64,32,102,27,17,22,295,72,,0
Arizona,2020,12,3/21/2020,1290,1157,,262,44,63,36,79,30,13,17,259,65,,
Arizona,2020,13,3/28/2020,1324,1215,,262,52,66,37,81,20,20,19,277,61,31,29
Arizona,2020,14,4/4/2020,1357,1234,,258,41,66,25,79,26,15,18,256,57,58,55
Arizona,2020,15,4/11/2020,1403,1261,11,243,58,57,26,84,28,17,15,255,69,91,88
Arizona,2020,16,4/18/2020,1316,1192,10,255,38,70,22,74,13,21,12,248,48,96,87
Arizona,2020,17,4/25/2020,1384,1280,,266,39,76,18,64,24,15,19,283,63,106,99
Arizona,2020,18,5/2/2020,1404,1268,,240,57,57,24,75,14,17,17,318,75,106,96
Arizona,2020,19,5/9/2020,1427,1286,10,253,47,60,16,77,21,11,32,284,60,126,121
Arizona,2020,20,5/16/2020,1306,1156,,233,40,65,17,65,23,21,18,227,53,118,111
Arizona,2020,21,5/23/2020,1289,1140,10,238,54,79,15,59,22,12,11,233,67,99,90
Arizona,2020,22,5/30/2020,1310,1170,,244,47,43,17,74,22,19,19,249,60,116,101
Arizona,2020,23,6/6/2020,1399,1213,,253,39,64,16,62,14,12,11,270,60,132,127
Arizona,2020,24,6/13/2020,1463,1295,10,247,47,66,13,73,26,12,17,280,55,173,154
Arizona,2020,25,6/20/2020,1550,1389,13,263,56,71,12,82,29,13,18,262,64,207,193
Arizona,2020,26,6/27/2020,1617,1461,12,261,45,71,16,68,26,24,21,289,62,258,239
Arizona,2020,27,7/4/2020,1774,1611,,247,58,78,21,70,25,13,20,294,66,388,359
Arizona,2020,28,7/11/2020,1954,1776,12,250,68,76,34,81,39,13,27,313,62,508,479
Arizona,2020,29,7/18/2020,1995,1740,,237,47,78,29,69,27,17,22,318,58,548,509
Arizona,2020,30,7/25/2020,1863,1669,,263,52,85,16,61,21,11,29,292,58,477,450
Arizona,2020,31,8/1/2020,1791,1568,13,246,58,63,29,75,20,13,24,281,65,390,362
Arizona,2020,32,8/8/2020,1586,1388,,240,44,51,17,65,14,20,23,268,62,305,279
Arizona,2020,33,8/15/2020,1526,1360,,242,56,61,20,56,21,11,29,242,55,249,232
Arizona,2020,34,8/22/2020,1505,1299,,259,49,62,14,74,19,,26,272,59,174,155
Arizona,2020,35,8/29/2020,1467,1271,,266,69,64,12,60,21,14,29,269,72,129,113
Arizona,2020,36,9/5/2020,1296,1128,,229,43,54,12,52,20,20,23,272,40,96,80
Arizona,2020,37,9/12/2020,1282,1122,10,243,42,45,14,55,26,15,19,259,58,61,56
Arizona,2020,38,9/19/2020,1259,1124,,238,43,54,14,57,,13,19,270,62,66,55
Arizona,2020,39,9/26/2020,1285,1152,11,241,51,61,11,65,16,10,19,239,63,56,44
Arizona,2020,40,10/3/2020,1202,1047,,213,28,48,18,61,10,15,27,268,56,35,30
Arizona,2020,41,10/10/2020,1241,1098,,230,45,60,,58,22,18,12,225,56,53,47
Arizona,2020,42,10/17/2020,1236,1094,19,221,40,43,12,61,21,18,19,261,67,47,39
Arizona,2020,43,10/24/2020,1282,1139,,247,45,52,18,58,17,16,20,254,65,63,57
Arizona,2020,44,10/31/2020,1312,1161,,233,40,48,12,66,20,11,18,261,60,82,71
Arizona,2020,45,11/7/2020,1399,1247,,243,45,61,12,63,16,12,23,290,56,125,102
Arizona,2020,46,11/14/2020,1252,1141,,225,39,61,14,54,13,11,11,255,48,124,113
Arizona,2020,47,11/21/2020,1525,1386,12,250,47,65,18,70,15,11,23,302,66,203,182
Arizona,2020,48,11/28/2020,1531,1399,,230,45,48,16,51,23,10,16,270,55,307,286
Arizona,2020,49,12/5/2020,1696,1574,10,223,76,51,19,68,23,10,19,285,61,416,387
Arizona,2020,50,12/12/2020,2004,1863,,247,65,78,27,84,26,14,24,309,77,574,526
Arizona,2020,51,12/19/2020,2098,1967,,248,56,64,34,75,22,21,20,303,72,734,682
Arizona,2020,52,12/26/2020,2205,2070,,264,50,76,26,91,26,17,32,319,78,765,708
Arizona,2020,53,1/2/2021,2300,2145,12,241,67,62,26,82,30,15,25,340,59,881,815
Arizona,2021,1,1/9/2021,2422,2260,10,262,78,78,22,79,34,20,21,352,53,941,890
Arizona,2021,2,1/16/2021,2455,2291,13,265,58,67,25,68,30,28,23,336,78,994,937
Arizona,2021,3,1/23/2021,2396,2241,13,251,54,72,30,75,24,19,25,327,83,956,891
Arizona,2021,4,1/30/2021,2058,1927,,246,58,56,27,66,21,14,20,321,54,765,706
Arizona,2021,5,2/6/2021,1909,1741,10,228,45,41,17,73,28,14,19,288,69,630,585
Arizona,2021,6,2/13/2021,1687,1543,15,229,38,56,20,57,26,17,16,283,59,489,443
Arizona,2021,7,2/20/2021,1552,1419,,246,47,42,17,71,17,19,16,263,55,338,306
Arizona,2021,8,2/27/2021,1516,1375,10,253,45,53,12,61,19,17,18,279,47,237,212
Arizona,2021,9,3/6/2021,1494,1354,13,248,44,50,17,81,12,24,17,301,65,184,158
Arizona,2021,10,3/13/2021,1411,1272,11,239,52,44,14,66,16,14,22,304,82,128,103
Arizona,2021,11,3/20/2021,1390,1241,,268,62,56,14,70,15,22,19,278,65,121,94
Arizona,2021,12,3/27/2021,1288,1143,11,236,47,55,10,65,22,,16,264,63,74,61
Arizona,2021,13,4/3/2021,1346,1179,12,253,47,55,,55,27,19,,285,74,56,48
Arizona,2021,14,4/10/2021,1273,1122,11,247,35,53,18,68,16,17,14,256,55,64,53
Arizona,2021,15,4/17/2021,1319,1165,,283,49,36,16,64,11,16,16,260,76,56,46
Arizona,2021,16,4/24/2021,1250,1107,,259,52,43,20,52,27,20,16,234,56,43,38
Arizona,2021,17,5/1/2021,1278,1119,10,228,54,57,13,70,17,16,,267,52,54,47
Arizona,2021,18,5/8/2021,1413,1233,,270,44,51,10,76,19,26,14,283,57,63,56
Arizona,2021,19,5/15/2021,1323,1154,,237,38,55,11,52,19,10,12,290,56,57,48
Arizona,2021,20,5/22/2021,1254,1114,,231,39,53,19,54,15,19,14,247,59,54,46
Arizona,2021,21,5/29/2021,1250,1082,,231,36,43,22,66,19,12,12,261,49,48,37
Arizona,2021,22,6/5/2021,1331,1134,11,233,47,41,11,76,26,11,22,233,57,40,34
Arizona,2021,23,6/12/2021,1300,1108,,254,33,50,13,60,17,12,15,242,60,35,27
Arizona,2021,24,6/19/2021,1356,1175,,234,55,50,15,65,23,16,20,281,61,44,33
Arizona,2021,25,6/26/2021,1384,1182,,263,44,36,12,82,15,11,25,288,66,45,40
Arizona,2021,26,7/3/2021,1324,1139,11,254,41,43,12,59,23,10,17,264,58,40,34
Arizona,2021,27,7/10/2021,1298,1094,,248,37,43,12,62,22,,29,261,50,41,35
Arizona,2021,28,7/17/2021,1359,1154,10,253,40,39,11,55,16,17,21,260,76,56,50
Arizona,2021,29,7/24/2021,1257,1082,12,212,50,49,14,58,15,14,21,251,49,70,65
Arizona,2021,30,7/31/2021,1298,1153,11,266,43,30,20,59,15,20,19,251,54,110,101
Arizona,2021,31,8/7/2021,1504,1314,11,271,53,49,16,62,20,13,30,270,74,127,119
Arizona,2021,32,8/14/2021,1467,1300,,269,45,39,17,67,19,14,35,249,65,162,147
Arizona,2021,33,8/21/2021,1491,1340,,249,39,55,19,75,19,16,46,253,72,179,170
Arizona,2021,34,8/28/2021,1586,1424,,246,41,54,13,62,21,16,60,281,66,210,199
Arizona,2021,35,9/4/2021,1617,1486,15,231,60,70,18,81,22,15,76,272,60,266,247
Arizona,2021,36,9/11/2021,1606,1467,,243,47,62,11,63,22,14,93,253,51,276,262
Arizona,2021,37,9/18/2021,1615,1501,16,271,38,55,26,64,26,26,88,278,60,258,239
Arizona,2021,38,9/25/2021,1560,1444,12,249,37,57,17,58,14,10,83,272,62,277,265
Arizona,2021,39,10/2/2021,1598,1498,10,249,47,65,23,80,22,14,95,259,60,260,246
Arizona,2021,40,10/9/2021,1523,1421,,263,56,46,20,71,13,,106,239,52,235,222
Arizona,2021,41,10/16/2021,1477,1364,,225,48,55,15,67,20,20,76,252,59,244,224
Arizona,2021,42,10/23/2021,1402,1200,,231,35,49,20,69,20,12,103,218,58,217,204
Arizona,2021,43,10/30/2021,1333,995,,213,40,44,14,58,20,14,98,227,50,231,216
Arizona,2021,44,11/6/2021,971,428,10,127,24,59,,49,,11,62,183,38,164,154
Arkansas,2020,1,1/4/2020,672,630,17,114,25,38,18,62,,,,174,34,0,0
Arkansas,2020,2,1/11/2020,686,629,10,144,26,37,21,63,,13,,165,33,0,0
Arkansas,2020,3,1/18/2020,658,610,11,123,24,33,20,44,,15,,167,23,0,0
Arkansas,2020,4,1/25/2020,616,576,,131,19,28,17,55,14,,,161,23,0,0
Arkansas,2020,5,2/1/2020,681,615,11,124,19,43,20,54,11,20,,151,24,0,0
Arkansas,2020,6,2/8/2020,673,637,,136,16,47,21,60,,15,,170,27,0,0
Arkansas,2020,7,2/15/2020,688,639,,121,26,33,20,56,12,11,,179,28,0,0
